USB Serial Initialized
Ticks, Kd, Kp, V, Pr, Pm, T
216, 0, 25, 0, 0, 0, 0
217, 0, 25, 0, 0, 0, 0
218, 0, 25, 0, 0, 0, 0
219, 0, 25, 0, 0, 0, 0
220, 0, 25, 0, 0, 0, 0
221, 0, 25, 0, 0, 0, 0
222, 0, 25, 0, 0, 0, 0
223, 0, 25, 0, 0, 0, 0
224, 0, 25, 0, 0, 0, 0
225, 0, 25, 0, 0, 0, 0
226, 0, 25, 0, 0, 0, 0
227, 0, 25, 0, 0, 0, 0
228, 0, 25, 0, 0, 0, 0
229, 0, 25, 0, 0, 0, 0
230, 0, 25, 0, 0, 0, 0
231, 0, 25, 0, 0, 0, 0
232, 0, 25, 0, 0, 0, 0
233, 0, 25, 0, 0, 0, 0
234, 0, 25, 0, 0, 0, 0
235, 0, 25, 0, 0, 0, 0
236, 0, 25, 0, 0, 0, 0
237, 0, 25, 0, 0, 0, 0
238, 0, 25, 0, 0, 0, 0
239, 0, 25, 0, 0, 0, 0
240, 0, 25, 0, 0, 0, 0
241, 0, 25, 0, 0, 0, 0
242, 0, 25, 0, 0, 0, 0
243, 0, 25, 0, 0, 0, 0
244, 0, 25, 0, 0, 0, 0
245, 0, 25, 0, 64, 0, 1250
246, 0, 25, 3, 64, 6, 1250
247, 0, 25, 5, 64, 15, 1250
248, 0, 25, 6, 64, 24, 1000
249, 0, 25, 4, 64, 34, 800
250, 0, 25, 4, 64, 43, 550
251, 0, 25, 5, 64, 52, 300
252, 0, 25, 4, 64, 62, 100
253, 0, 25, 2, 64, 66, -50
254, 0, 25, -2, 64, 64, 0
255, 0, 25, 0, 64, 64, 0
256, 0, 25, 0, 64, 64, 0
257, 0, 25, 0, 64, 64, 0
258, 0, 25, 0, 64, 64, 0
259, 0, 25, 0, 64, 64, 0
260, 0, 25, 0, 64, 64, 0
261, 0, 25, 0, 64, 64, 0
262, 0, 25, 0, 64, 64, 0
263, 0, 25, 0, 64, 64, 0
264, 0, 25, 0, 64, 64, 0
265, 0, 25, 0, 64, 64, 0
266, 0, 25, 0, 64, 64, 0
267, 0, 25, 0, 64, 64, 0
268, 0, 25, 0, 64, 64, 0
269, 0, 25, 0, 64, 64, 0
270, 0, 25, 0, 64, 64, 0
271, 0, 25, 0, 64, 64, 0
272, 0, 25, 0, 64, 64, 0
273, 0, 25, 0, 64, 64, 0
274, 0, 25, 0, 64, 64, 0
275, 0, 25, 0, 64, 64, 0
276, 0, 25, 0, 64, 64, 0
277, 0, 25, 0, 64, 64, 0
278, 0, 25, 0, 64, 64, 0
279, 0, 25, 0, 64, 64, 0
280, 0, 25, 0, 64, 64, 0
281, 0, 25, 0, 64, 64, 0
282, 0, 25, 0, 64, 64, 0
283, 0, 25, 0, 64, 64, 0
284, 0, 25, 0, 0, 63, -1250
285, 0, 25, -4, 0, 55, -1250
286, 0, 25, -5, 0, 46, -1175
287, 0, 25, -4, 0, 37, -950
288, 0, 25, -5, 0, 28, -700
289, 0, 25, -4, 0, 18, -500
290, 0, 25, -5, 0, 10, -250
291, 0, 25, -4, 0, 2, -50
292, 0, 25, -2, 0, -2, 50
293, 0, 25, 1, 0, 0, 0
294, 0, 25, 0, 0, 0, 0
295, 0, 25, 0, 0, 0, 0
296, 0, 25, 0, 0, 0, 0
297, 0, 25, 0, 0, 0, 0
298, 0, 25, 0, 0, 0, 0
299, 0, 25, 0, 0, 0, 0
300, 0, 25, 0, 0, 0, 0
301, 0, 25, 0, 0, 0, 0
302, 0, 25, 0, 0, 0, 0
303, 0, 25, 0, 0, 0, 0
304, 0, 25, 0, 0, 0, 0
305, 0, 25, 0, 0, 0, 0
306, 0, 25, 0, 0, 0, 0
307, 0, 25, 0, 0, 0, 0
308, 0, 25, 0, 0, 0, 0
309, 0, 25, 0, 0, 0, 0
310, 0, 25, 0, 1, 0, 25
311, 0, 25, 0, 1, 0, 25
312, 0, 25, 1, 1, 1, 0
313, 0, 25, -1, 1, 1, 0
314, 0, 25, 1, 1, 1, 0
315, 0, 25, -1, 1, 1, 0
316, 0, 25, 1, 1, 1, 0
317, 0, 25, -1, 1, 1, 0
318, 0, 25, 1, 1, 1, 0
319, 0, 25, -1, 1, 1, 0
320, 0, 25, 1, 1, 1, 0
321, 0, 25, -1, 1, 1, 0
322, 0, 25, 1, 1, 1, 0
323, 0, 25, -1, 1, 1, 0
324, 0, 25, 1, 1, 1, 0
325, 0, 25, -1, 1, 1, 0
326, 0, 25, 1, 1, 1, 0
327, 0, 25, -1, 1, 1, 0
328, 0, 25, 1, 1, 1, 0
329, 0, 25, -1, 1, 1, 0
330, 0, 25, 0, 1, 1, 0
331, 0, 25, 0, 1, 1, 0
332, 0, 25, 0, 1, 1, 0
333, 0, 25, 0, 1, 1, 0
334, 0, 25, 0, 1, 1, 0
335, 0, 25, 0, 1, 1, 0
336, 0, 25, 0, 1, 1, 0
337, 0, 25, 0, 1, 1, 0
