USB Serial Initialized
Ticks, Kd, Kp, V, Pr, Pm, T
89, 0, 25, 0, 0, 0, 0
90, 0, 25, 0, 0, 0, 0
91, 0, 25, 0, 0, 0, 0
92, 0, 25, 0, 0, 0, 0
93, 0, 25, 0, 0, 0, 0
94, 0, 25, 0, 0, 0, 0
95, 0, 25, 0, 0, 0, 0
96, 0, 25, 0, 0, 0, 0
97, 0, 25, 0, 0, 0, 0
98, 0, 25, 0, 0, 0, 0
99, 0, 25, 0, 0, 0, 0
100, 0, 25, 0, 0, 0, 0
101, 0, 25, 0, 0, 0, 0
102, 0, 25, 0, 0, 0, 0
103, 0, 25, 0, 0, 0, 0
104, 0, 25, 0, 0, 0, 0
105, 0, 25, 0, 0, 0, 0
106, 0, 25, 0, 0, 0, 0
107, 0, 25, 0, 0, 0, 0
108, 0, 25, 0, 0, 0, 0
109, 0, 25, 0, 0, 0, 0
110, 0, 25, 0, 0, 0, 0
111, 0, 25, 0, 0, 0, 0
112, 0, 25, 0, 0, 0, 0
113, 0, 25, 0, 0, 0, 0
114, 0, 25, 0, 64, 0, 1250
115, 0, 25, 4, 64, 6, 1250
116, 0, 25, 4, 64, 16, 1250
117, 0, 25, 4, 64, 25, 1250
118, 0, 25, 5, 64, 34, 750
119, 0, 25, 5, 64, 44, 750
120, 0, 25, 4, 64, 53, 300
121, 0, 25, 6, 64, 62, 300
122, 0, 25, 4, 64, 72, -150
123, 0, 25, -1, 64, 72, -150
124, 0, 25, -4, 64, 66, -50
125, 0, 25, -2, 64, 62, -50
126, 0, 25, -2, 64, 60, 100
127, 0, 25, 2, 64, 62, 100
128, 0, 25, 2, 64, 66, -50
129, 0, 25, 0, 64, 66, -50
130, 0, 25, -2, 64, 64, 0
131, 0, 25, 0, 64, 64, 0
132, 0, 25, 0, 64, 64, 0
133, 0, 25, 0, 64, 64, 0
134, 0, 25, 0, 64, 64, 0
135, 0, 25, 0, 64, 64, 0
136, 0, 25, 0, 64, 64, 0
137, 0, 25, 0, 64, 64, 0
138, 0, 25, 0, 64, 64, 0
139, 0, 25, 0, 64, 64, 0
140, 0, 25, 0, 64, 64, 0
141, 0, 25, 0, 64, 64, 0
142, 0, 25, 0, 64, 64, 0
143, 0, 25, 0, 64, 64, 0
144, 0, 25, 0, 64, 64, 0
145, 0, 25, 0, 64, 64, 0
146, 0, 25, 0, 64, 64, 0
147, 0, 25, 0, 64, 64, 0
148, 0, 25, 0, 64, 64, 0
149, 0, 25, 0, 64, 64, 0
150, 0, 25, 0, 64, 64, 0
151, 0, 25, 0, 64, 64, 0
152, 0, 25, 0, 64, 64, 0
153, 0, 25, 0, 64, 64, 0
154, 0, 25, 0, 64, 64, 0
155, 0, 25, 0, 64, 64, 0
156, 0, 25, 0, 64, 64, 0
157, 0, 25, 0, 64, 64, 0
158, 0, 25, 0, 64, 64, 0
159, 0, 25, 0, 64, 64, 0
160, 0, 25, 0, 64, 64, 0
161, 0, 25, 0, 0, 64, 0
162, 0, 25, 0, 0, 64, -1250
163, 0, 25, -4, 0, 58, -1250
164, 0, 25, -4, 0, 49, -1250
165, 0, 25, -5, 0, 40, -1250
166, 0, 25, -4, 0, 31, -800
167, 0, 25, -5, 0, 22, -800
168, 0, 25, -4, 0, 12, -350
169, 0, 25, -5, 0, 4, -350
170, 0, 25, -4, 0, -6, 100
171, 0, 25, 2, 0, -6, 100
172, 0, 25, 1, 0, -2, 75
173, 0, 25, 1, 0, 1, 75
174, 0, 25, 2, 0, 4, -100
175, 0, 25, -1, 0, 2, -100
176, 0, 25, -2, 0, -1, 0
177, 0, 25, 0, 0, -2, 0
178, 0, 25, 0, 0, -2, 50
179, 0, 25, 0, 0, -2, 50
180, 0, 25, 0, 0, 0, 0
181, 0, 25, 0, 0, 1, 0
182, 0, 25, 0, 0, 1, -25
183, 0, 25, -1, 0, 0, -25
184, 0, 25, 0, 0, 0, 0
185, 0, 25, 0, 0, 0, 0
186, 0, 25, 0, 0, 0, 0
187, 0, 25, 0, 0, 0, 0
188, 0, 25, 0, 0, 0, 0
189, 0, 25, 0, 0, 0, 0
190, 0, 25, 0, 0, 0, 0
191, 0, 25, 0, 0, 0, 0
192, 0, 25, 0, 0, 0, 0
193, 0, 25, 0, 0, 0, 0
194, 0, 25, 0, 0, 0, 0
195, 0, 25, 0, 0, 0, 0
196, 0, 25, 0, 0, 0, 0
197, 0, 25, 0, 0, 0, 0
198, 0, 25, 0, 0, 0, 0
199, 0, 25, 0, 0, 0, 0
200, 0, 25, 0, 0, 0, 0
201, 0, 25, 0, 0, 0, 0
202, 0, 25, 0, 0, 0, 0
203, 0, 25, 0, 0, 0, 0
204, 0, 25, 0, 0, 0, 0
205, 0, 25, 0, 0, 0, 0
206, 0, 25, 0, 0, 0, 0
207, 0, 25, 0, 0, 0, 0
208, 0, 25, 0, 0, 0, 0
209, 0, 25, 0, 0, 0, 0
210, 0, 25, 0, 0, 0, 0
211, 0, 25, 0, 0, 0, 0
212, 0, 25, 0, 1, 0, 25
213, 0, 25, 0, 1, 0, 25
214, 0, 25, 0, 1, 0, 25
215, 0, 25, 0, 1, 2, 25
216, 0, 25, 0, 1, 2, -25
217, 0, 25, 0, 1, 2, -25
218, 0, 25, 0, 1, 2, -25
219, 0, 25, -2, 1, 0, -25
220, 0, 25, 0, 1, 0, 25
221, 0, 25, 0, 1, 0, 25
222, 0, 25, 0, 1, 1, 25
223, 0, 25, 0, 1, 2, 25
224, 0, 25, 0, 1, 2, -25
225, 0, 25, 0, 1, 2, -25
226, 0, 25, 0, 1, 2, -25
227, 0, 25, -2, 1, 0, -25
228, 0, 25, 0, 1, 0, 25
229, 0, 25, 0, 1, 0, 25
230, 0, 25, 1, 1, 1, 0
231, 0, 25, 0, 1, 2, 0
232, 0, 25, 0, 1, 2, -25
233, 0, 25, -1, 1, 0, -25
234, 0, 25, 0, 1, 0, 25
235, 0, 25, 0, 1, 0, 25
236, 0, 25, 0, 1, 1, 25
237, 0, 25, 0, 1, 2, 25
238, 0, 25, 0, 1, 2, -25
239, 0, 25, 0, 1, 2, -25
240, 0, 25, 0, 1, 2, -25
241, 0, 25, -2, 1, 0, -25
242, 0, 25, 0, 1, 0, 25
243, 0, 25, 0, 1, 0, 25
244, 0, 25, 1, 1, 1, 0
245, 0, 25, 0, 1, 2, 0
246, 0, 25, 0, 1, 2, -25
247, 0, 25, -2, 1, 0, -25
248, 0, 25, 0, 1, 0, 25
249, 0, 25, 0, 1, 0, 25
250, 0, 25, 0, 1, 1, 25
251, 0, 25, 0, 1, 2, 25
252, 0, 25, 0, 1, 2, -25
253, 0, 25, 0, 1, 2, -25
254, 0, 25, 0, 1, 2, -25
255, 0, 25, -2, 1, 0, -25
256, 0, 25, 0, 1, 0, 25
