USB Serial Initialized
Ticks, Kd, Kp, V, Pr, Pm, T
500, 2, 25, 0, 672, 672, 0
501, 2, 25, 0, 672, 672, 0
502, 2, 25, 0, 672, 672, 0
503, 2, 25, 0, 672, 672, 0
504, 2, 25, 0, 672, 672, 0
505, 2, 25, 0, 672, 672, 0
506, 2, 25, 0, 672, 672, 0
507, 2, 25, 0, 672, 672, 0
508, 2, 25, 0, 672, 672, 0
509, 2, 25, 0, 672, 672, 0
510, 2, 25, 0, 672, 672, 0
511, 2, 25, 0, 672, 672, 0
512, 2, 25, 0, 672, 672, 0
513, 2, 25, 0, 672, 672, 0
514, 2, 25, 0, 672, 672, 0
515, 2, 25, 0, 672, 672, 0
516, 2, 25, 0, 672, 672, 0
517, 2, 25, 0, 672, 672, 0
518, 2, 25, 0, 672, 672, 0
519, 2, 25, 0, 672, 672, 0
520, 2, 25, 0, 672, 672, 0
521, 2, 25, 0, 672, 672, 0
522, 2, 25, 0, 672, 672, 0
523, 2, 25, 0, 672, 672, 0
524, 2, 25, 0, 672, 672, 0
525, 2, 25, 0, 672, 672, 0
526, 2, 25, 0, 672, 672, 0
527, 2, 25, 0, 672, 672, 0
528, 2, 25, 0, 672, 672, 0
529, 2, 25, 0, 672, 672, 0
530, 2, 25, 0, 672, 672, 0
531, 2, 25, 0, 672, 672, 0
532, 2, 25, 0, 672, 672, 0
533, 2, 25, 0, 672, 672, 0
534, 2, 25, 0, 672, 672, 0
535, 2, 25, 0, 672, 672, 0
536, 2, 25, 0, 800, 672, 1250
537, 2, 25, 4, 800, 680, 1244
538, 2, 25, 5, 800, 690, 1240
539, 2, 25, 5, 800, 700, 1240
540, 2, 25, 4, 800, 710, 1240
541, 2, 25, 4, 800, 720, 1238
542, 2, 25, 4, 800, 730, 1238
543, 2, 25, 4, 800, 740, 1238
544, 2, 25, 5, 800, 749, 1240
545, 2, 25, 5, 800, 759, 1040
546, 2, 25, 5, 800, 769, 790
547, 2, 25, 5, 800, 779, 540
548, 2, 25, 5, 800, 789, 290
549, 2, 25, 5, 800, 798, 40
550, 2, 25, 0, 800, 800, -4
551, 2, 25, 0, 800, 800, 0
552, 2, 25, 0, 800, 800, 0
553, 2, 25, 0, 800, 800, 0
554, 2, 25, 0, 800, 800, 0
555, 2, 25, 0, 800, 800, 0
556, 2, 25, 0, 800, 800, 0
557, 2, 25, 0, 800, 800, 0
558, 2, 25, 0, 800, 800, 0
559, 2, 25, 0, 800, 800, 0
560, 2, 25, 0, 800, 800, 0
561, 2, 25, 0, 800, 800, 0
562, 2, 25, 0, 800, 800, 0
563, 2, 25, 0, 800, 800, 0
564, 2, 25, 0, 800, 800, 0
565, 2, 25, 0, 800, 800, 0
566, 2, 25, 0, 800, 800, 0
567, 2, 25, 0, 800, 800, 0
568, 2, 25, 0, 800, 800, 0
569, 2, 25, 0, 800, 800, 0
570, 2, 25, 0, 800, 800, 0
571, 2, 25, 0, 800, 800, 0
572, 2, 25, 0, 928, 802, 1250
573, 2, 25, 4, 928, 810, 1242
574, 2, 25, 4, 928, 820, 1238
575, 2, 25, 4, 928, 830, 1238
576, 2, 25, 4, 928, 840, 1238
577, 2, 25, 4, 928, 850, 1238
578, 2, 25, 4, 928, 859, 1238
579, 2, 25, 5, 928, 868, 1240
580, 2, 25, 6, 928, 878, 1242
581, 2, 25, 6, 928, 888, 992
582, 2, 25, 6, 928, 898, 742
583, 2, 25, 6, 928, 908, 492
584, 2, 25, 6, 928, 918, 242
585, 2, 25, 4, 928, 926, 42
586, 2, 25, 0, 928, 928, -4
587, 2, 25, 0, 928, 928, 0
588, 2, 25, 0, 928, 928, 0
