Ticks, Kd, Kp, V, Pr, Pm, T
5705, 0, 15, 0, 432, 432, 0
5706, 0, 15, 0, 432, 432, 0
5707, 0, 15, 0, 432, 432, 0
5708, 0, 15, 0, 432, 432, 0
5709, 0, 15, 0, 432, 432, 0
5710, 0, 15, 0, 432, 432, 0
5711, 0, 15, 0, 432, 432, 0
5712, 0, 15, 0, 432, 432, 0
5713, 0, 15, 0, 432, 432, 0
5714, 0, 15, 0, 432, 432, 0
5715, 0, 15, 0, 432, 432, 0
5716, 0, 15, 0, 432, 432, 0
5717, 0, 15, 0, 432, 432, 0
5718, 0, 15, 0, 432, 432, 0
5719, 0, 15, 0, 432, 432, 0
5720, 0, 15, 0, 432, 432, 0
5721, 0, 15, 0, 432, 432, 0
5722, 0, 15, 0, 432, 432, 0
5723, 0, 15, 0, 432, 432, 0
5724, 0, 15, 0, 432, 432, 0
5725, 0, 15, 0, 432, 432, 0
5726, 0, 15, 0, 432, 432, 0
5727, 0, 15, 0, 432, 432, 0
5728, 0, 15, 0, 432, 432, 0
5729, 0, 15, 0, 432, 432, 0
5730, 0, 15, 0, 432, 432, 0
5731, 0, 15, 0, 432, 432, 0
5732, 0, 15, 0, 432, 432, 0
5733, 0, 15, 0, 432, 432, 0
5734, 0, 15, 0, 432, 432, 0
5735, 0, 15, 0, 432, 432, 0
5736, 0, 15, 0, 432, 432, 0
5737, 0, 15, 0, 432, 432, 0
5738, 0, 15, 0, 432, 432, 0
5739, 0, 15, 0, 432, 432, 0
5740, 0, 15, 0, 432, 432, 0
5741, 0, 15, 0, 432, 432, 0
5742, 0, 15, 0, 432, 432, 0
5743, 0, 15, 0, 432, 432, 0
5744, 0, 15, 0, 432, 432, 0
5745, 0, 15, 0, 432, 432, 0
5746, 0, 15, 0, 432, 432, 0
5747, 0, 15, 0, 432, 432, 0
5748, 0, 15, 0, 432, 432, 0
5749, 0, 15, 0, 432, 432, 0
5750, 0, 15, 0, 432, 432, 0
5751, 0, 15, 0, 432, 432, 0
5752, 0, 15, 0, 432, 432, 0
5753, 0, 15, 0, 432, 432, 0
5754, 0, 15, 0, 432, 432, 0
5755, 0, 15, 0, 432, 432, 0
5756, 0, 15, 0, 432, 432, 0
5757, 0, 15, 0, 432, 432, 0
5758, 0, 15, 0, 560, 432, 0
5759, 0, 15, 3, 560, 438, 750
5760, 0, 15, 5, 560, 446, 750
5761, 0, 15, 4, 560, 456, 750
5762, 0, 15, 4, 560, 465, 750
5763, 0, 15, 6, 560, 474, 750
5764, 0, 15, 4, 560, 484, 750
5765, 0, 15, 4, 560, 493, 750
5766, 0, 15, 5, 560, 502, 750
5767, 0, 15, 4, 560, 512, 750
5768, 0, 15, 4, 560, 520, 600
5769, 0, 15, 5, 560, 530, 465
5770, 0, 15, 4, 560, 540, 330
5771, 0, 15, 5, 560, 548, 180
