USB Serial Initialized
Ticks, Kd, Kp, V, Pr, Pm, T
293, 0, 25, 0, 160, 160, 0
294, 0, 25, 0, 160, 160, 0
295, 0, 25, 0, 160, 160, 0
296, 0, 25, 0, 160, 160, 0
297, 0, 25, 0, 160, 160, 0
298, 0, 25, 0, 160, 160, 0
299, 0, 25, 0, 160, 160, 0
300, 0, 25, 0, 160, 160, 0
301, 0, 25, 0, 160, 160, 0
302, 0, 25, 0, 160, 160, 0
303, 0, 25, 0, 160, 160, 0
304, 0, 25, 0, 160, 160, 0
305, 0, 25, 0, 160, 160, 0
306, 0, 25, 0, 160, 160, 0
307, 0, 25, 0, 160, 160, 0
308, 0, 25, 0, 160, 160, 0
309, 0, 25, 0, 160, 160, 0
310, 0, 25, 0, 160, 160, 0
311, 0, 25, 0, 160, 160, 0
312, 0, 25, 0, 160, 160, 0
313, 0, 25, 0, 160, 160, 0
314, 0, 25, 0, 160, 160, 0
315, 0, 25, 0, 160, 160, 0
316, 0, 25, 0, 160, 160, 0
317, 0, 25, 0, 160, 160, 0
318, 0, 25, 0, 160, 160, 0
319, 0, 25, 0, 160, 160, 0
320, 0, 25, 0, 160, 160, 0
321, 0, 25, 0, 224, 160, 1250
322, 0, 25, 4, 224, 166, 1250
323, 0, 25, 3, 224, 174, 1250
324, 0, 25, 4, 224, 181, 1100
325, 0, 25, 4, 224, 188, 900
326, 0, 25, 3, 224, 196, 725
327, 0, 25, 4, 224, 203, 550
328, 0, 25, 4, 224, 211, 350
329, 0, 25, 4, 224, 218, 150
330, 0, 25, 3, 224, 224, 0
331, 0, 25, 0, 224, 224, 0
332, 0, 25, 0, 224, 224, 0
333, 0, 25, 0, 224, 224, 0
334, 0, 25, 0, 224, 224, 0
335, 0, 25, 0, 224, 224, 0
336, 0, 25, 0, 224, 224, 0
337, 0, 25, 0, 224, 224, 0
338, 0, 25, 0, 224, 224, 0
339, 0, 25, 0, 224, 224, 0
340, 0, 25, 0, 224, 224, 0
341, 0, 25, 0, 224, 224, 0
342, 0, 25, 0, 224, 224, 0
343, 0, 25, 0, 224, 224, 0
