USB Serial Initialized
Ticks, Kd, Kp, V, Pr, Pm, T
692, 0, 105, 0, 401, 401, 0
693, 0, 105, 0, 401, 401, 0
694, 0, 105, 0, 401, 401, 0
695, 0, 105, 0, 401, 401, 0
696, 0, 105, 0, 401, 401, 0
697, 0, 105, 0, 401, 401, 0
698, 0, 105, 0, 401, 401, 0
699, 0, 105, 0, 401, 401, 0
700, 0, 105, 0, 401, 401, 0
701, 0, 105, 0, 401, 401, 0
702, 0, 105, 0, 401, 401, 0
703, 0, 105, 0, 401, 401, 0
704, 0, 105, 0, 401, 401, 0
705, 0, 105, 0, 401, 401, 0
706, 0, 105, 0, 401, 401, 0
707, 0, 105, 0, 401, 401, 0
708, 0, 105, 0, 401, 401, 0
709, 0, 105, 0, 401, 401, 0
710, 0, 105, 0, 401, 401, 0
711, 0, 105, 0, 401, 401, 0
712, 0, 105, 0, 401, 401, 0
713, 0, 105, 0, 401, 401, 0
714, 0, 105, 0, 401, 401, 0
715, 0, 105, 0, 401, 401, 0
716, 0, 105, 0, 401, 401, 0
717, 0, 105, 0, 401, 401, 0
718, 0, 105, 0, 401, 401, 0
719, 0, 105, 0, 401, 401, 0
720, 0, 105, 0, 401, 401, 0
721, 0, 105, 0, 401, 401, 0
722, 0, 105, 0, 401, 401, 0
723, 0, 105, 0, 401, 401, 0
724, 0, 105, 0, 401, 401, 0
725, 0, 105, 0, 401, 401, 0
726, 0, 105, 0, 401, 401, 0
727, 0, 105, 0, 401, 401, 0
728, 0, 105, 0, 401, 401, 0
729, 0, 105, 0, 401, 401, 0
730, 0, 105, 0, 401, 401, 0
731, 0, 105, 0, 401, 401, 0
732, 0, 105, 0, 401, 401, 0
733, 0, 105, 0, 401, 401, 0
734, 0, 105, 0, 401, 401, 0
735, 0, 105, 0, 401, 401, 0
736, 0, 105, 0, 401, 401, 0
737, 0, 105, 0, 401, 401, 0
738, 0, 105, 0, 401, 401, 0
739, 0, 105, 0, 401, 401, 0
740, 0, 105, 0, 401, 401, 0
741, 0, 105, 0, 401, 401, 0
742, 0, 105, 0, 401, 401, 0
743, 0, 105, 0, 401, 401, 0
744, 0, 105, 0, 401, 401, 0
745, 0, 105, 0, 401, 401, 0
746, 0, 105, 0, 401, 401, 0
747, 0, 105, 0, 401, 401, 0
748, 0, 105, 0, 401, 401, 0
749, 0, 105, 0, 401, 401, 0
750, 0, 105, 0, 401, 401, 0
751, 0, 105, 0, 401, 401, 0
752, 0, 105, 0, 401, 401, 0
753, 0, 105, 0, 401, 401, 0
754, 0, 105, 0, 401, 401, 0
755, 0, 105, 0, 401, 401, 0
756, 0, 105, 0, 401, 401, 0
757, 0, 105, 0, 401, 401, 0
758, 0, 105, 0, 401, 401, 0
759, 0, 105, 0, 401, 401, 0
760, 0, 105, 0, 401, 401, 0
761, 0, 105, 0, 401, 401, 0
762, 0, 105, 0, 401, 401, 0
763, 0, 105, 0, 401, 401, 0
764, 0, 105, 0, 401, 401, 0
765, 0, 105, 0, 401, 401, 0
766, 0, 105, 0, 401, 401, 0
767, 0, 105, 0, 401, 401, 0
768, 0, 105, 0, 401, 401, 0
769, 0, 105, 0, 401, 401, 0
770, 0, 105, 0, 401, 401, 0
771, 0, 105, 0, 401, 401, 0
772, 0, 105, 0, 417, 401, 1680
773, 0, 105, 1, 417, 403, 1470
774, 0, 105, 2, 417, 406, 1155
775, 0, 105, 1, 417, 410, 840
776, 0, 105, 2, 417, 412, 525
777, 0, 105, 2, 417, 416, 105
778, 0, 105, 1, 417, 418, -105
779, 0, 105, -1, 417, 417, 105
780, 0, 105, -1, 417, 416, 0
781, 0, 105, 2, 417, 418, -105
782, 0, 105, 1, 417, 418, 0
783, 0, 105, -2, 417, 416, 105
784, 0, 105, -1, 417, 416, 0
785, 0, 105, 1, 417, 418, -105
786, 0, 105, 1, 417, 418, 0
787, 0, 105, -2, 417, 416, 105
788, 0, 105, 1, 417, 417, -105
789, 0, 105, 1, 417, 418, 0
790, 0, 105, -2, 417, 416, 105
791, 0, 105, -1, 417, 416, 0
792, 0, 105, 2, 417, 418, -105
793, 0, 105, 1, 417, 417, 0
794, 0, 105, -2, 417, 416, 105
795, 0, 105, -1, 417, 417, 0
796, 0, 105, 2, 417, 418, -105
797, 0, 105, 0, 417, 417, 0
798, 0, 105, -2, 417, 416, 105
799, 0, 105, 0, 417, 417, 0


Ticks, Kd, Kp, V, Pr, Pm, T
1438, 0, 25, 0, 1078, 1078, 0
1439, 0, 25, 0, 1078, 1078, 0
1440, 0, 25, 0, 1078, 1078, 0
1441, 0, 25, 0, 1078, 1078, 0
1442, 0, 25, 0, 1078, 1078, 0
1443, 0, 25, 0, 1078, 1078, 0
1444, 0, 25, 0, 1078, 1078, 0
1445, 0, 25, 0, 1078, 1078, 0
1446, 0, 25, 0, 1078, 1078, 0
1447, 0, 25, 0, 1078, 1078, 0
1448, 0, 25, 0, 1078, 1078, 0
1449, 0, 25, 0, 1078, 1078, 0
1450, 0, 25, 0, 1078, 1078, 0
1451, 0, 25, 0, 1078, 1078, 0
1452, 0, 25, 0, 1078, 1078, 0
1453, 0, 25, 0, 1078, 1078, 0
