USB Serial Initialized
Ticks, Kd, Kp, V, Pr, Pm, T
893, 0, 25, 0, 0, 0, 0
894, 0, 25, 0, 0, 0, 0
895, 0, 25, 0, 0, 0, 0
896, 0, 25, 0, 0, 0, 0
897, 0, 25, 0, 0, 0, 0
898, 0, 25, 0, 0, 0, 0
899, 0, 25, 0, 0, 0, 0
900, 0, 25, 0, 0, 0, 0
901, 0, 25, 0, 0, 0, 0
902, 0, 25, 0, 0, 0, 0
903, 0, 25, 0, 0, 0, 0
904, 0, 25, 0, 0, 0, 0
905, 0, 25, 0, 0, 0, 0
906, 0, 25, 0, 0, 0, 0
907, 0, 25, 0, 0, 0, 0
908, 0, 25, 0, 0, 0, 0
909, 0, 25, 0, 0, 0, 0
910, 0, 25, 0, 0, 0, 0
911, 0, 25, 0, 0, 0, 0
912, 0, 25, 0, 0, 0, 0
913, 0, 25, 0, 0, 0, 0
914, 0, 25, 0, 0, 0, 0
915, 0, 25, 0, 0, 0, 0
916, 0, 25, 0, 0, 0, 0
917, 0, 25, 0, 0, 0, 0
918, 0, 25, 0, 0, 0, 0
919, 0, 25, 0, 0, 0, 0
920, 0, 25, 3, 64, 6, 1250
921, 0, 25, 6, 64, 14, 1250
922, 0, 25, 5, 64, 24, 1025
923, 0, 25, 4, 64, 33, 800
924, 0, 25, 5, 64, 42, 550
925, 0, 25, 5, 64, 52, 325
926, 0, 25, 4, 64, 60, 100
927, 0, 25, 1, 64, 64, 0
928, 0, 25, 0, 64, 64, 0
929, 0, 25, 0, 64, 64, 0
930, 0, 25, 0, 64, 64, 0
931, 0, 25, 0, 64, 64, 0
932, 0, 25, 0, 64, 64, 0
933, 0, 25, 0, 64, 64, 0
934, 0, 25, 0, 64, 64, 0
935, 0, 25, 0, 64, 64, 0
936, 0, 25, 0, 64, 64, 0
937, 0, 25, 0, 64, 64, 0
938, 0, 25, 0, 64, 64, 0
939, 0, 25, 0, 64, 64, 0
940, 0, 25, 0, 64, 64, 0
941, 0, 25, 0, 64, 64, 0
942, 0, 25, 0, 64, 64, 0
943, 0, 25, 0, 64, 64, 0
944, 0, 25, 0, 64, 64, 0
945, 0, 25, 0, 64, 64, 0
946, 0, 25, 0, 64, 64, 0
947, 0, 25, 0, 64, 64, 0
948, 0, 25, 0, 64, 64, 0
949, 0, 25, 0, 64, 64, 0
950, 0, 25, 0, 64, 64, 0
951, 0, 25, 0, 64, 64, 0
952, 0, 25, 0, 64, 64, 0
953, 0, 25, 0, 64, 64, 0
954, 0, 25, 0, 0, 64, -1250
955, 0, 25, -4, 0, 56, -1250
956, 0, 25, -5, 0, 48, -1200
957, 0, 25, -4, 0, 38, -1000
958, 0, 25, -5, 0, 30, -750
959, 0, 25, -5, 0, 20, -525
960, 0, 25, -4, 0, 11, -300
961, 0, 25, -4, 0, 2, -100
962, 0, 25, 0, 0, -1, 0
963, 0, 25, 1, 0, 0, 0
964, 0, 25, 0, 0, 0, 0
965, 0, 25, 0, 0, 0, 0
966, 0, 25, 0, 0, 0, 0
967, 0, 25, 0, 0, 0, 0
968, 0, 25, 0, 0, 0, 0
969, 0, 25, 0, 0, 0, 0
970, 0, 25, 0, 0, 0, 0
971, 0, 25, 0, 0, 0, 0
972, 0, 25, 0, 0, 0, 0
973, 0, 25, 0, 0, 0, 0
974, 0, 25, 0, 0, 0, 0
975, 0, 25, 0, 0, 0, 0
976, 0, 25, 0, 0, 0, 0
977, 0, 25, 0, 0, 0, 0
978, 0, 25, 0, 0, 0, 0
979, 0, 25, 0, 0, 0, 0
980, 0, 25, 0, 0, 0, 0
981, 0, 25, 0, 0, 0, 0
982, 0, 25, 0, 0, 0, 0
983, 0, 25, 0, 0, 0, 0
984, 0, 25, 0, 0, 0, 0
985, 0, 25, 0, 0, 0, 0
986, 0, 25, 0, 0, 0, 0
987, 0, 25, 0, 0, 0, 0
988, 0, 25, 0, 0, 0, 0
989, 0, 25, 0, 0, 0, 0
990, 0, 25, 0, 0, 0, 0
991, 0, 25, 0, 0, 0, 0
992, 0, 25, 0, 0, 0, 0
993, 0, 25, 0, 0, 0, 0
994, 0, 25, 0, 0, 0, 0
995, 0, 25, 0, 0, 0, 0
996, 0, 25, 0, 0, 0, 0
997, 0, 25, 0, 0, 0, 0
998, 0, 25, 0, 0, 0, 0
999, 0, 25, 0, 0, 0, 0
1000, 0, 25, 0, 0, 0, 0
1001, 0, 25, 0, 0, 0, 0
1002, 0, 25, 0, 0, 0, 0
1003, 0, 25, 0, 0, 0, 0
1004, 0, 25, 0, 0, 0, 0
1005, 0, 25, 0, 0, 0, 0
1006, 0, 25, 0, 0, 0, 0
1007, 0, 25, 0, 0, 0, 0
1008, 0, 25, 0, 0, 0, 0
1009, 0, 25, 0, 0, 0, 0
1010, 0, 25, 0, 0, 0, 0
1011, 0, 25, 0, 0, 0, 0
1012, 0, 25, 0, 0, 0, 0
1013, 0, 25, 0, 0, 0, 0
1014, 0, 25, 0, 0, 0, 0
1015, 0, 25, 0, 0, 0, 0
1016, 0, 25, 0, 0, 0, 0
1017, 0, 25, 0, 0, 0, 0
1018, 0, 25, 0, 0, 0, 0
1019, 0, 25, 0, 0, 0, 0
1020, 0, 25, 0, 0, 0, 0
1021, 0, 25, 0, 0, 0, 0
1022, 0, 25, 0, 0, 0, 0


Ticks, Kd, Kp, V, Pr, Pm, T
1161, 0, 25, 0, 0, 0, 0
1162, 0, 25, 0, 0, 0, 0
1163, 0, 25, 0, 0, 0, 0
1164, 0, 25, 0, 0, 0, 0
1165, 0, 25, 0, 0, 0, 0
1166, 0, 25, 0, 0, 0, 0
1167, 0, 25, 0, 0, 0, 0
1168, 0, 25, 0, 0, 0, 0
