Ticks, Kd, Kp, V, Pr, Pm, T
1011, 0, 105, 0, 322, 322, 0
1012, 0, 105, 0, 322, 322, 0
1013, 0, 105, 0, 322, 322, 0
1014, 0, 105, 0, 322, 322, 0
1015, 0, 105, 0, 322, 322, 0
1016, 0, 105, 0, 322, 322, 0
1017, 0, 105, 0, 322, 322, 0
1018, 0, 105, 0, 322, 322, 0
1019, 0, 105, 0, 322, 322, 0
1020, 0, 105, 0, 322, 322, 0
1021, 0, 105, 0, 322, 322, 0
1022, 0, 105, 0, 322, 322, 0
1023, 0, 105, 0, 322, 322, 0
1024, 0, 105, 0, 322, 322, 0
1025, 0, 105, 0, 322, 322, 0
1026, 0, 105, 0, 322, 322, 0
1027, 0, 105, 0, 322, 322, 0
1028, 0, 105, 0, 322, 322, 0
1029, 0, 105, 0, 322, 322, 0
1030, 0, 105, 0, 322, 322, 0
1031, 0, 105, 0, 322, 322, 0
1032, 0, 105, 0, 322, 322, 0
1033, 0, 105, 0, 322, 322, 0
1034, 0, 105, 0, 322, 322, 0
1035, 0, 105, 0, 386, 322, 5250
1036, 0, 105, 0, 386, 322, 5250
1037, 0, 105, 1, 386, 323, 5250
1038, 0, 105, 0, 386, 324, 5250
1039, 0, 105, 1, 386, 325, 5250
1040, 0, 105, 0, 386, 326, 5250
1041, 0, 105, 0, 386, 326, 5250
1042, 0, 105, 1, 386, 328, 5250
1043, 0, 105, 0, 386, 328, 5250
1044, 0, 105, 1, 386, 330, 5250
1045, 0, 105, 0, 386, 330, 5250
1046, 0, 105, 2, 386, 332, 5250
1047, 0, 105, 0, 386, 332, 5250
1048, 0, 105, 1, 386, 333, 5250
1049, 0, 105, 0, 386, 334, 5250
1050, 0, 105, 0, 386, 335, 5250
1051, 0, 105, 0, 386, 336, 5250
1052, 0, 105, 0, 386, 336, 5250
1053, 0, 105, 1, 386, 338, 5040
1054, 0, 105, 0, 386, 338, 5040
1055, 0, 105, 2, 386, 340, 4830
1056, 0, 105, 0, 386, 340, 4830
1057, 0, 105, 1, 386, 341, 4725
1058, 0, 105, 0, 386, 342, 4620
1059, 0, 105, 0, 386, 343, 4620
1060, 0, 105, 0, 386, 344, 4410
1061, 0, 105, 0, 386, 344, 4410
1062, 0, 105, 1, 386, 346, 4200
1063, 0, 105, 0, 386, 346, 4200
1064, 0, 105, 2, 386, 348, 3990
1065, 0, 105, 0, 386, 348, 3990
1066, 0, 105, 1, 386, 349, 3885
1067, 0, 105, 0, 386, 350, 3780
1068, 0, 105, 0, 386, 350, 3780
1069, 0, 105, 1, 386, 352, 3570
1070, 0, 105, 0, 386, 352, 3570
1071, 0, 105, 1, 386, 354, 3360
1072, 0, 105, 0, 386, 354, 3360
1073, 0, 105, 1, 386, 356, 3255
1074, 0, 105, 0, 386, 356, 3150
1075, 0, 105, 1, 386, 357, 3045
1076, 0, 105, 0, 386, 358, 2940
1077, 0, 105, 1, 386, 359, 2835
1078, 0, 105, 0, 386, 360, 2730
1079, 0, 105, 0, 386, 361, 2730
1080, 0, 105, 1, 386, 362, 2520
1081, 0, 105, 0, 386, 362, 2520
1082, 0, 105, 1, 386, 364, 2310
1083, 0, 105, 0, 386, 364, 2310
1084, 0, 105, 1, 386, 366, 2100
1085, 0, 105, 0, 386, 366, 2100
1086, 0, 105, 1, 386, 367, 1995
1087, 0, 105, 0, 386, 368, 1890
1088, 0, 105, 1, 386, 369, 1785
1089, 0, 105, 0, 386, 370, 1680
1090, 0, 105, 0, 386, 370, 1680
1091, 0, 105, 1, 386, 372, 1470
1092, 0, 105, 0, 386, 372, 1470
1093, 0, 105, 1, 386, 374, 1260
1094, 0, 105, 0, 386, 374, 1260
1095, 0, 105, 1, 386, 376, 1155
1096, 0, 105, 0, 386, 376, 1050
1097, 0, 105, 1, 386, 377, 945
1098, 0, 105, 0, 386, 378, 840
1099, 0, 105, 1, 386, 379, 735
1100, 0, 105, 0, 386, 380, 630
1101, 0, 105, 0, 386, 381, 630
1102, 0, 105, 1, 386, 382, 420
1103, 0, 105, 0, 386, 382, 420
1104, 0, 105, 1, 386, 384, 210
1105, 0, 105, 0, 386, 384, 210
